object,message,type
muxVizVersion,"muxViz Versie:",ui
muxVizUpdate,"Laatste update:",ui
muxVizSystem,"Systeem:",ui
ID,"ID",ui
ProjectID,"Project ID",ui
txtProjectName,"* Geef een ID aan deze analyse:",ui
Import,"Importeer",ui
ConfigFile,"Configuratie Bestand",ui
NetworkModel,"Netwerk Model",ui
NetworkFormat,"Netwerk Formaat",ui
Configuration,"Configuratie",ui
ConfigurationFileFormat,"* Input formaat voor het config. bestand:",ui
ConfigurationFile,"* Open het configuratie bestand:",ui
chkConfigFileHeader, "Kolomnaam",ui
txtConfigFileSep, "Scheidingsteken:",ui
ConfigurationFileSummary,"Configuratie bestand: Overzicht",ui
ImportNetworks,"Importeer netwerken",ui
InputFormat,"Input Formaat",ui
chkEdgeListFileHeader,"Kolomnaam",ui
txtEdgeListFileSep,"Scheidingsteken (standaard is een spatie; hetzelfde scheidingsteken wordt verwacht voor het lay-out document):",ui
txtEdgeListFileSepHelp,"<font color='red'> Vink het vakje hieronder aan wanneer de knooppunten in de lijst met verbindingen geïdentificeerd worden door hun labels i.p.v. ID-nummers (serie van oplopende gehele getallen)</font> (Bemerk dat in het lay-out bestand verwacht wordt dat de nodeIDs gedefinieerd worden als een serie van oplopende gehele getallen)",ui
chkEdgeListLabel,"Lijst met verbindigingen tussen gelabelde knooppunten (i.p.v. een serie van oplopende gehele getallen)",ui
chkEdgeListLabel2,"Lijst met verbindingen tuseen gelabelde lagen (i.p.v. een serie van oplopende getallen)",ui
selEdgeListType,"* Formaat van lijst met verbindingen:",ui
chkEdgeListWeighted, "Gewogen",ui
chkEdgeListUndirectedBoth,"Beide richtingen zijn gespecificeerd (enkel voor niet-gerichte netwerken (undirected networks))",ui
chkRESCALE_WEIGHT,"Herschaal gewichten op basis van de minimale waarde",ui
chkOutputEdgelistTable,"Print de lijst met verbindingen in een tabel (<font color='red'>traag voor grote netwerken</font>)",ui
btnImportNetworks,"Importeer Netwerk",ui
NetworkSummary,"Overzicht van het gelaadge network (multilayer network)",ui
