nodeID nodeLabel
1 RTG3
2 EXO70
3 SWF1
4 SER1
5 BOI2
6 YNR071C
7 SFT2
8 GOT1
9 SPF1
10 COG8
11 COG5
12 MKS1
13 cog3-1
14 COG6
15 SSH1
16 HAC1
17 RUD3
18 SPC2
19 IRE1
20 YFL032W
21 ERV14
22 SEC72
23 MUM2
24 UBP2
25 UBP14
26 SEC66
27 YML033W
28 SBH1
29 STE24
30 SRC1
31 sec63-1
32 PDB1
33 ACH1
34 KGD2
35 LIP2
36 PDA1
37 LAT1
38 RPN4
39 GET3
40 GET1
41 SRP101_damp
42 PRE9
43 POC4
44 IRC25
45 SEM1
46 cog2-1
47 MSP1
48 MTC1
49 YLR065C
50 HUT1
51 PER1
52 NCS6
53 YLR269C
54 BOP2
55 BST1
56 SCJ1
57 UBA4
58 MRC1
59 POL32
60 SGS1
61 DDC1
62 CTF8
63 YOR024W
64 RAD24
65 RAD9
66 orc2-2
67 rfc5-1
68 MEC3
69 HST3
70 RRM3
71 RAD57
72 CLB2
73 RAD55
74 RAD54
75 SRS2
76 ELG1
77 LTE1
78 RAD17
79 cdc2-2
80 DUN1
81 TOF1
82 YCL060C
83 RAD27
84 MUS81
85 SLX1
86 SAE2
87 YBR100W
88 SLX4
89 cdc7-4
90 smc6-9
91 WSS1
92 MMS4
93 YDL162C
94 stu2-12
95 scc2-4
96 mcd1-73
97 CHL1
98 psf1-1
99 GET2
100 ANP1
101 kre5-ts2
102 NBP2
103 LHS1
104 SWP1_damp
105 prp4-1
106 ALG6
107 UBC7
108 CUE1
109 HRD3
110 ALG8
111 UBC4
112 ALG3
113 PMT2
114 ALG5
115 ALG12
116 DIE2
117 YBL083C
118 HRD1
119 ERV25
120 ost1-6
121 gab1-1
122 ALG9
123 LAS21
124 CSF1
125 ARL3
126 PAT1
127 DBP7
128 MID2
129 SWI6
130 CLB3
131 ECM33
132 CHS7
133 PFA4
134 UTH1
135 SHO1
136 BSD2
137 SKT5
138 YPR076W
139 YBL062W
140 MSO1
141 CHS3
142 MRL1
143 ROT2
144 TOS1
145 OPY2
146 VPS55
147 NAP1
148 GAS1
149 CWH41
150 GUP1
151 ACK1
152 wbp1-1
153 OST5
154 SLP1
155 RAD51
156 TSA1
157 YDL119C
158 JID1
159 ESC2
160 YDL118W
161 GYP1
162 yhc1-3
163 ERG25_damp
164 VMA8
165 ENT4
166 BRE5
167 IWR1
168 TRS31_damp
169 sec17-1
170 SYS1
171 PEP8
172 ARL1
173 GMH1
174 CBF1
175 YDR290W
176 MAF1
177 SMM1
178 TAN1
179 TRM1
180 GSG1
181 BUG1
182 uso1-1
183 YER084W
184 SGT2
185 CPR7
186 MDY2
187 DOS2
188 COY1
189 YOL098C
190 COG7
191 RTT10
192 CUP5
193 ERD1
194 YDR340W
195 MSH6
196 SUM1
197 cdc12-1
198 CYK3
199 PIB1
200 MSH2
201 PEP1
202 MEP1
203 YNL022C
204 AZF1
205 VAM10
206 VHS1
207 YGL081W
208 SWR1
209 GIM4_damp
210 TUB3
211 YDR336W
212 IRC15
213 BIM1
214 MAD1
215 MAD2
216 dsn1-7
217 smc3-1
218 RAD61
219 HPT1
220 ADE6
221 BAS1
222 ADE17
223 SHM2
224 ADE2
225 ADE5.7
226 ADE1
227 YGR054W
228 MET6
229 GCN2
230 GCN1
231 YER156C
232 CYM1
233 ATP11
234 HFA1
235 YDR431W
236 AIM8
237 HMI1
238 STP1
239 URE2
240 ARO7
241 SER2
242 HOM3
243 YDL172C
244 HOM2
245 PAR32
246 ARO1
247 SDC1
248 ARP6
249 IST3
250 YTA7
251 PKH1
252 pkc1-4
253 pkc1-ts
254 CCH1
255 API2
256 PGM1
257 OCA5
258 OCA4
259 YDR348C
260 YUR1
261 YNL089C
262 AIM44
263 YGR228W
264 BEM1
265 PUF6
266 TRF5
267 ARX1
268 PUF4
269 RPL11B
270 YGL217C
271 PAC11
272 DYN3
273 JNM1
274 MAD3
275 DYN1
276 MCM22
277 CHL4
278 MCM16
279 MSA1
280 LDB18
281 KIP3
282 CTF3
283 KIP2
284 BFA1
285 PAC1
286 SLK19
287 ARP1
288 LSM1
289 BIK1
290 YDR149C
291 NUM1
292 IML3
293 NUP2
294 HCM1
295 VIK1
296 CIN1
297 TPM1
298 ITC1
299 LCB4
300 IES2
301 RPL8A
302 DCG1
303 DOA1
304 HIR2
305 HPC2
306 IES4
307 HIR1
308 AIM4
309 YGL046W
310 PSD1
311 RIM20
312 ATP18
313 PSD2
314 MSC1
315 YGR071C
316 PHB2
317 PHB1
318 YCR062W
319 VMA21
320 TFP1
321 RPP1A
322 CAF130
323 TOM1
324 EGD2
325 RPL9B
326 NST1
327 PSY1
328 RPL23A
329 TIM13
330 RPD3
331 DEP1
332 UPS1
333 YGR182C
334 RPN10
335 ASM4
336 YKL069W
337 POM34
338 POM152
339 NUP188
340 NUP157
341 NUP42
342 MLP1
343 CRM1_damp
344 SLX9
345 NUP133
346 THP2
347 NUP53
348 YMR153C-A
349 NUP60
350 YNL140C
351 THI3
352 PHO23
353 QCR6
354 TIF2
355 YAL045C
356 FOB1
357 SWC3
358 YJR087W
359 CIN8
360 dam1-9
361 duo1-2
362 CIK1
363 REC104
364 prp6-1
365 snu114-60
366 LIN1
367 BRR1
368 YBR134W
369 HUB1
370 URN1
371 YBR064W
372 VPS72
373 CWC27
374 BUD13
375 slu7-ts1
376 CLB1
377 LRS4
378 cdc20-3
379 RAD52
380 SPO12
381 cdc42-1
382 SIN3
383 IPK1
384 YFL006W
385 PPH3
386 BLM10
387 DCC1
388 CTF18
389 yrb1-51
390 HIR3
391 YML102C-A
392 GCR2
393 MED1
394 SIP4
395 RCO1
396 cdc3-3
397 YPL109C
398 SSH4
399 HSL1
400 MIH1
401 CDH1
402 MUD2
403 MUD1
404 YGR012W
405 NAM8
406 prp28-101
407 SET3
408 CTI6
409 RBL2
410 YKE2
411 STM1
412 YLR366W
413 YLR211C
414 SWI5
415 YLR349W
416 YLR282C
417 MMR1
418 cmd1-8
419 sec27-1
420 YPR050C
421 MAK3
422 VPS38
423 COX8
424 SIN4
425 IRA2
426 CYC2
427 WHI2
428 YOR246C
429 ATS1
430 VPS71
431 ssu72-2
432 YML010C-B
433 RTT107
434 RAD5
435 RAD18
436 RML2
437 RIP1
438 RAD50
439 YPR078C
440 YML096W
441 RAD10
442 RAD14
443 YPL182C
444 YMR031W-A
445 CAJ1
446 PFK2
447 BCH1
448 CHS6
449 SLY41
450 SYG1
451 RIA1
452 RKM1
453 GSH1
454 ESC1
455 PML39
456 NIC96_damp
457 TKL1
458 TAT1
459 YNL181W_damp
460 ARO2
461 RPL8B
462 NIP100
463 MCM21
464 CIN2
465 spc24-1
466 LSM3_damp
467 CAC2
468 RPA34
469 cbf2-1
470 UBR1
471 CTF19
472 CSM3
473 CNN1
474 OPI7
475 SNU66
476 LSM6
477 wbp1-2
478 PGA3_damp
479 PHO80
480 YML035C-A
481 UBC5
482 apc5-CA
483 OST3
484 PMT3
485 PMT6
486 OST2_damp
487 ECM2
488 prp4-ts
489 LSM7
490 SXM1
491 HOM6
492 lst8-15
493 MEH1
494 YDR157W
495 SBH2
496 VID22
497 cdc48-3
498 OST6
499 CWH43
500 YER087C-A
501 RSC2
502 TCB2
503 GIM4
504 CSR2
505 YPL041C
506 YMR148W
507 CBP4
508 LHP1
509 LSM4_damp
510 CSM1
511 TRM11
512 sec10-2
513 PDR17
514 prp22-1
515 EAF7
516 RXT2
517 SAP30
518 LSC2
519 LIP5
520 AIM22
521 PHO86
522 MSC7
523 RTT103
524 ASE1
525 BNI1
526 KAR9
527 stu1-5
528 myo2-16
529 stu1-12
530 YKL077W
531 CNE1
532 gwt1-20
533 DFG5
534 KRE11
535 RLM1
536 MID1
537 YSY6
538 SLT2
539 HOC1
540 PPZ1
541 SKN7
542 CCW12
543 LRG1
544 SHP1
545 AGP2
546 YJL068C
547 RRF1
548 AVL9
549 GEM1
550 EXO1
551 cdc3-1
552 MNN11
553 AXL2
554 YPL066W
555 BNR1
556 RGD1
557 TVP38
558 SSK2
559 YHR210C
560 FAU1
561 PHO2
562 RTG1
563 YIL141W
564 CKA1
565 act1-124
566 ILM1
567 ero1-1
568 EMP24
569 SWM1
570 APC9
571 TMA64
572 cdc27-1
573 cdc26-1
574 cdc23-1
575 MND2
576 UBX4
577 RRD2
578 BUB2
579 KIP1
580 YBL104C
581 YDR509W
582 GNP1
583 GTR1
584 UBP15
585 MTC5
586 SLM4
587 CHS5
588 EDS1
589 VID24
590 YDR199W
591 GLC7_damp
592 RPG1_damp
593 PIB2
594 TOR1
595 tor2-21
596 ECM8
597 DCR2
598 cdc1-2
599 YOL037C
600 REX2
601 HEF3
602 SLM1
603 tap42-11
604 FMC1
605 YGL235W
606 VPS9
607 SIM1
608 LRP1
609 RNH70
610 GPB2
611 PBS2
612 MON1
613 SAP185
614 CMR3
615 YLR414C
616 YJL070C
617 JHD2
618 BCK1
619 PNT1
620 SCO2
621 CYT2
622 ASC1
623 BNI4
624 SPO1
625 YDL133W
626 SUL1
627 SMA2
628 STI1
629 cdc28-13
630 cdc37-1
631 cdc37-ts
632 YCL002C
633 HSC82
634 tcp1-2
635 YMR074C
636 smc1-259
637 DSE3
638 PMP3
639 GIM5
640 DBR1
641 lcb1-5
642 CCZ1
643 nsl1-5
644 NEM1
645 GRH1
646 YBR090C-A
647 YKR023W
648 smc1-2
649 TRS33
650 BOI1
651 sec15-1
652 sec9-4
653 SNC1
654 HST4
655 RSM7
656 DPL1
657 TSC13_damp
658 SYF2
659 CWC15
660 CWC21
661 YDR415C
662 TLG2
663 AAD4
664 cdc10-4
665 SDS3
666 LEO1
667 SAP190
668 YPR053C
669 cdc11-5
670 AFG3
671 AEP2
672 VPS8
673 RCE1
674 ret2-1
675 arp2-14
676 THR4
677 KAR3
678 CLA4
679 DBF2
680 SPA2
681 BUD6
682 GRE2
683 HOS2
684 OMS1
685 PRM6
686 GIN4
687 RPS28A
688 TOP1
689 YLR402W
690 rpo31-698
691 SCD5_damp
692 BUD27
693 TGS1
694 YNR004W
695 MOD5
696 TEA1
697 BUD4
698 SHS1
699 RPS28B
700 YPR045C
701 rna15-58
702 PIH1
703 RVB1_damp
704 RVB2_damp
705 CLB4
706 ECM30
707 BAT1
708 ELP3
709 TPM2
710 EAF5
711 YDR094W
712 REV1
713 ERG6
714 TRP1
715 SAY1
716 TRP4
717 VMA9
718 YPR090W
719 TRP3
720 YBP2
721 CLB5
722 CRD1
723 FMP30
724 ELP2
725 DEG1
726 IKI3
727 TRM10
728 KTI12
729 tim22-19
730 pam18-1
731 PAM17
732 PSH1
733 rpn11-14
734 HOG1
735 CAP2
736 EDE1
737 VPS74
738 CAP1
739 IPT1
740 RPS21B
741 SMY1
742 BBC1
743 YJL021C
744 GCN20
745 MCX1
746 BAP2
747 YNR040W
748 YOR263C
749 VIP1
750 RPA14
751 VID28
752 HXT10
753 SHR3_damp
754 cdc14-2
755 ycs4-1
756 MOB1_damp
757 THS1_damp
758 UPS2
759 RTT101
760 XRS2
