timeStep labelStep entity layerID nodeID color sizeFactor
1 t1 node 1 1 A20011 1.35
2 t2 node 1 2 A20011 1.35
2 t2 node 1 1 A01523 1.3
2 t2 edge 1 1-2 A20011 2.4
3 t3 node 1 1 A20011 1.35
3 t3 node 1 2 A01523 1.3
3 t3 edge 1 1-2 A01523 2.2
3 t3 edge 1 2-1 A20011 2.4
4 t4 node 1 2 A20011 1.35
4 t4 node 1 1 A01523 1.3
4 t4 edge 1 1-2 9E2A36 2.0
4 t4 edge 1 2-1 A01523 2.2
4 t4 edge 1 1-2 A20011 2.4
5 t5 node 1 1 A20011 1.35
5 t5 node 1 2 A01523 1.3
5 t5 edge 1 1-2 9C3F49 1.8
5 t5 edge 1 2-1 9E2A36 2.0
5 t5 edge 1 1-2 A01523 2.2
5 t5 edge 1 2-1 A20011 2.4
6 t6 node 1 2 A20011 1.35
6 t6 node 1 1 A01523 1.3
